Total Time,STM,LTM,WM,PSI,AVP,ATI,ATN,Task Completion
47.673,0.50,1.00,0.62,0.5370333333333334,0.5185166666666667,0.6759233333333334,0.5703693333333334,1
39.878,0.50,1.50,0.62,0.865,0.6825,0.9055,0.6622,1
31.217,0.75,1.33,0.77,0.8053666666666667,0.7776833333333333,0.8637566666666667,0.7955026666666667,1
28.224,0.75,0.67,0.77,0.75975,0.754875,0.831825,0.7827299999999999,1
24.804,0.25,1.00,0.47,0.8304666666666667,0.5402333333333333,0.6113266666666667,0.3945306666666667,0.1
22.802,0.00,0,0.32,0.8722833333333334,0.41485555555555553,0.6256980555555555,0.2502792222222222,0.1
23.141,0.75,0.67,0.77,0.8541666666666666,0.8020833333333334,0.8979166666666667,0.8091666666666666,1
36.087,0.50,2.00,0.62,0.8845666666666666,0.6922833333333334,0.9191966666666667,0.6676786666666668,1
19.878,0.50,1.00,0.62,0.8878,0.6939,0.9214600000000001,0.6685840000000001,1
45.753,0.50,1.50,0.62,0.8317,0.66585,0.88219,0.652876,1
30.179,0.50,1.50,0.62,0.8049166666666667,0.6524583333333334,0.8634416666666667,0.6453766666666667,1
88.768,1.00,0.67,0.92,0.22931111111111116,0.7819,0.5775888888888889,0.8310355555555555,1
15.853,0.00,0,0.32,0.9220666666666667,0.46103333333333324,0.6754466666666666,0.2701786666666667,0.1
21.21,0.67,0.50,0.72,0.8702888888888888,0.7701444444444445,0.9092022222222222,0.765680888888889,1
25.049,1.00,1.00,0.92,0.8215333333333333,0.9107666666666667,0.8750733333333334,0.9500293333333334,1
62.694,0.67,1.50,0.72,0.08040000000000004,0.46187777777777783,0.4169544444444445,0.5687817777777778,1
24.091,1.00,1.00,0.92,0.8120888888888889,0.9060444444444444,0.8684622222222222,0.9473848888888889,1
18.423,1.00,1.00,0.92,0.8887555555555555,0.9443777777777778,0.9221288888888889,0.9688515555555556,1
26.242,1.00,1.00,0.92,0.8839333333333333,0.9419666666666666,0.9187533333333333,0.9675013333333333,1
31.06,1.00,1.00,0.92,0.6854444444444444,0.8427222222222222,0.7798111111111111,0.9119244444444444,1
21.662,1.00,1.00,0.92,0.8535777777777778,0.9267888888888889,0.8975044444444444,0.9590017777777777,1
40.515,1.00,1.00,0.92,0.8173466666666667,0.9086733333333333,0.8721426666666666,0.9488570666666667,1
52.828,0.80,1.25,0.80,0.6954666666666666,0.7477333333333334,0.7868266666666667,0.7947306666666667,1
38.52,1.00,1.00,0.92,0.8736799999999999,0.93684,0.911576,0.9646304,1
42.174,1.00,1.00,0.92,0.8584133333333334,0.9292066666666667,0.9008893333333333,0.9603557333333334,1
51.4,0.80,1.25,0.80,0.7127466666666668,0.7563733333333333,0.7989226666666667,0.7995690666666666,1
39.348,0.80,1.25,0.80,0.8660533333333335,0.8330266666666667,0.9062373333333333,0.8424949333333334,1
58.204,0.80,1.25,0.80,0.6102666666666666,0.7113733333333334,0.7315546666666667,0.7726218666666667,1
